Timestamp (ms), RPM SEC
4242272,2007
4242296,1676
4242309,2931
4242327,2243
4242346,2158
4242363,2370
4242381,2154
4242401,2030
4242422,1903
4242437,2626
4242456,2157
4242478,1780
4242503,2402
4242528,1613
4242544,2445
4242557,3098
4242578,1927
4242603,1597
4242612,4246
4242635,1754
4242653,2259
4242668,2695
4242686,2150
4242707,1923
4242727,2039
4242742,2694
4242760,2199
4242782,1797
4242803,1904
4242817,2922
4242834,2265
4242859,1597
4242884,2465
4242899,2605
4242915,2480
4242939,1701
4242958,2072
4242972,2825
4242989,2402
4243008,2096
4243033,1593
4243049,2540
4243062,3047
4243083,1905
4243099,2496
4243121,1844
4243139,2173
4243157,2253
4243172,2702
4243190,2211
4243212,1797
4243239,2201
4243261,1839
4243286,2366
4243301,2786
4243318,2314
4243337,2142
4243361,1643
4243385,2467
4243401,2580
4243418,2377
4243437,2085
4243460,1737
4243476,2455
4243491,2615
4243511,2061
4243535,2441
4243567,1908
4243590,2589
4243614,1697
4243631,2354
4243646,2600
4243665,2136
4243681,2434
4243698,2366
4243719,1893
4243739,1963
4243753,2905
4243770,2355
4243801,1942
4243819,2220
4243839,1967
4243853,2871
4243869,2631
4243896,2197
4243918,1785
4243932,2818
4243949,2402
4243968,2104
4243992,1682
4244005,2944
4244023,2325
4244043,1950
4244056,3010
4244074,2281
4244093,2113
4244109,2446
4244127,2245
4244150,1720
4244168,2274
4244183,2672
4244200,2287
4244218,2277
4244243,1602
4244252,4264
4244274,1857
4244299,2369
4244315,2590
4244332,2242
4244354,1854
4244373,2123
4244389,2531
4244404,2567
4244424,2007
4244450,2332
4244465,2596
4244483,2269
4244505,1798
4244524,2104
4244550,2331
4244564,2820
4244582,2288
4244606,1666
4244628,2630
4244644,2552
4244661,2323
4244684,1734
4244703,2147
4244717,2867
4244735,2272
4244753,2164
4244768,2742
4244790,1784
4244806,2462
4244820,2925
4244837,2279
4244856,2137
4244886,1979
4244918,2551
4244948,2009
4244970,1796
4244985,2647
4244998,3183
4245019,1878
4245035,2526
4245051,2539
4245069,2169
4245094,1602
4245107,2947
4245123,2532
4245144,1938
4245158,2943
4245174,2360
4245194,2052
4245210,2446
4245228,2320
4245248,1911
4245269,1953
4245285,2470
4245298,3054
4245325,2228
4245348,1767
4245361,2915
4245376,2718
4245397,1929
4245411,2890
4245428,2290
4245447,2140
4245463,2457
4245481,2243
4245504,1714
4245522,2279
4245537,2656
4245554,2290
4245572,2289
4245587,2621
4245604,2355
4245622,2249
4245647,1600
4245661,2945
4245676,2568
4245703,2216
4245725,1823
4245734,4386
4245756,1817
4245775,2135
4245789,2905
4245806,2256
4245825,2143
4245840,2740
4245857,2317
4245875,2209
